id,label,sentence
0,0," 5 . Science includes such diverse fields as astronomy , biology , computer sciences , geology , logic , physics , chemistry , and mathematics ( [ link ] ) ."
1,1," However , those fields of science related to the physical world and its phenomena and processes are considered natural sciences ."
2,0," Thus , a museum of natural sciences might contain any of the items listed above ."
3,0," 8 . In deductive reason , the pattern of thinking moves in the opposite direction as compared to inductive reasoning ."
4,1, Deductive reasoning is a form of logical thinking that uses a general principle or law to forecast specific results .
5,0," From those general principles , a scientist can extrapolate and predict the specific results that would be valid as long as the general principles are valid ."
6,0, 11 . Each experiment will have one or more variables and one or more controls .
7,1, A variable is any part of the experiment that can vary or change during the experiment .
8,1, The control group contains every feature of the experimental group except it is not given the manipulation that is hypothesized about .
9,1," 14 . In contrast , applied science or “ technology , ” aims to use science to solve real - world problems , making it possible , for example , to improve a crop yield , find a cure for a particular disease , or save animals threatened by a natural disaster ( [ link ] ) ."
10,0," In applied science , the problem is usually defined for the researcher ."
11,0, 17 . This structure is sometimes called the “ IMRaD ” format .
12,1, There are usually acknowledgment and reference sections as well as an abstract ( a concise summary ) at the beginning of the paper .
13,1, There are usually acknowledgment and reference sections as well as an abstract ( a concise summary ) at the beginning of the paper .
14,0," There might be additional sections depending on the type of paper and the journal where it will be published ; for example , some review papers require an outline ."
15,0," 20 . The materials and methods section includes a complete and accurate description of the substances used , and the method and techniques used by the researchers to gather data ."
16,0," The description should be thorough enough to allow another researcher to repeat the experiment and obtain similar results , but it does not have to be verbose ."
17,1," 23 . Finally , the conclusion section summarizes the importance of the experimental findings ."
18,0," While the scientific paper almost certainly answered one or more scientific questions that were stated , any good research should lead to more questions ."
19,1, 29 . Some cells contain aggregates of macromolecules surrounded by membranes ; these are called organelles .
20,1, Some cells contain aggregates of macromolecules surrounded by membranes ; these are called organelles .
21,0, Organelles are small structures that exist within cells .
22,1," 32 . In larger organisms , cells combine to make tissues , which are groups of similar cells carrying out similar or related functions ."
23,1, Organs are collections of tissues grouped together performing a common function .
24,1," 35 . For instance , the circulatory system transports blood through the body and to and from the lungs ; it includes organs such as the heart and blood vessels ."
25,1, Organisms are individual living entities .
26,0," For example , each tree in a forest is an organism ."
27,0, 41 . The evolution of various life forms on Earth can be summarized in a phylogenetic tree ( [ link ] ) .
28,1, A phylogenetic tree is a diagram showing the evolutionary relationships among biological species based on similarities and differences in genetic or physical traits or both .
29,0, A phylogenetic tree is composed of nodes and branches .
30,1," 44 . Another field of biological study , neurobiology , studies the biology of the nervous system , and although it is considered a branch of biology , it is also recognized as an interdisciplinary field of study known as neuroscience ."
31,0," Because of its interdisciplinary nature , this subdiscipline studies different functions of the nervous system using molecular , cellular , developmental , medical , and computational approaches ."
